"qualifying","position","displayName","nflId_def","time_after_snap","count","avg_epa","avg_eps_tracking_per_play"
1,"CB","A.J. Bouye",2541162,0.5,269,0.0556602516943203,0.016375814870465
1,"CB","A.J. Bouye",2541162,0.6,269,0.00959431704151536,0.0311822591968239
1,"CB","A.J. Bouye",2541162,0.7,268,-0.0296072700706913,0.0444958720230897
1,"CB","A.J. Bouye",2541162,0.8,268,-0.0605124015974755,0.0555095543339737
1,"CB","A.J. Bouye",2541162,0.9,268,-0.0752240986898749,0.0610295623653341
1,"CB","A.J. Bouye",2541162,1,268,-0.0728929775690577,0.0612823924891721
1,"CB","A.J. Bouye",2541162,1.1,267,-0.0530944843863856,0.0555090498382802
1,"CB","A.J. Bouye",2541162,1.2,265,-0.0253840279287794,0.0471257043889578
1,"CB","A.J. Bouye",2541162,1.3,264,0.00581849027372349,0.0376116007773455
1,"CB","A.J. Bouye",2541162,1.4,258,0.03623416588826,0.0275664765851051
1,"CB","A.J. Bouye",2541162,1.5,256,0.0662917109527559,0.0176049815137336
1,"CB","A.J. Bouye",2541162,1.6,254,0.0820542284478963,0.0127944612779032
1,"CB","A.J. Bouye",2541162,1.7,250,0.0955160919728244,0.00818292264297584
1,"CB","A.J. Bouye",2541162,1.8,246,0.0992910881421338,0.00741418125518666
1,"CB","A.J. Bouye",2541162,1.9,238,0.0960428527100065,0.00878818718796441
1,"CB","A.J. Bouye",2541162,2,221,0.0904827094035116,0.0110242443725956
1,"CB","A.J. Bouye",2541162,2.1,210,0.0983117627281765,0.00809697622015234
1,"CB","A.J. Bouye",2541162,2.2,199,0.112693675213395,0.00344387228230715
1,"CB","A.J. Bouye",2541162,2.3,189,0.12291612514,-0.00055417177872166
1,"CB","A.J. Bouye",2541162,2.4,175,0.145455715627495,-0.00934433256471083
1,"CB","A.J. Bouye",2541162,2.5,161,0.175987081996178,-0.0217018955430048
1,"CB","A.J. Bouye",2541162,2.6,151,0.179834564822688,-0.0245791504474579
1,"CB","A.J. Bouye",2541162,2.7,141,0.187965011038762,-0.0288947897169752
1,"CB","A.J. Bouye",2541162,2.8,125,0.177402740345821,-0.0277723724777651
1,"CB","A.J. Bouye",2541162,2.9,111,0.180949832715034,-0.0296908118221463
1,"CB","A.J. Bouye",2541162,3,104,0.199323478479798,-0.0354975249398895
1,"CB","A.J. Bouye",2541162,3.1,100,0.219019053007576,-0.043152287252429
1,"CB","A.J. Bouye",2541162,3.2,86,0.243873173444914,-0.0532697698699484
1,"CB","A.J. Bouye",2541162,3.3,76,0.257349954451765,-0.0597126137642727
1,"CB","A.J. Bouye",2541162,3.4,70,0.286479824963678,-0.0698783683596305
1,"CB","A.J. Bouye",2541162,3.5,56,0.27964967850883,-0.0680029809309574
1,"CB","A.J. Bouye",2541162,3.6,52,0.29474329761031,-0.0743173412593333
1,"CB","A.J. Bouye",2541162,3.7,49,0.283694759949605,-0.0689092209119627
1,"CB","A.J. Bouye",2541162,3.8,45,0.306484132464878,-0.0787065553594197
1,"CB","A.J. Bouye",2541162,3.9,40,0.307384394618104,-0.0802029021904018
1,"CB","A.J. Bouye",2541162,4,34,0.237451384797351,-0.0526972090880559
1,"CB","A.J. Bouye",2541162,4.1,28,0.255105603360427,-0.0628790660299683
1,"CB","A.J. Bouye",2541162,4.2,27,0.230894891603392,-0.0564422368096055
1,"CB","A.J. Bouye",2541162,4.3,27,0.205376314687729,-0.0477777394185081
1,"CB","A.J. Bouye",2541162,4.4,24,0.150791800848346,-0.0315824830965365
1,"CB","A.J. Bouye",2541162,4.5,22,0.14579943344462,-0.0304265740422853
1,"CB","A.J. Bouye",2541162,4.6,18,0.280780042205683,-0.076221673099798
1,"CB","A.J. Bouye",2541162,4.7,17,0.35720316110884,-0.100770137798172
1,"CB","A.J. Bouye",2541162,4.8,16,0.237624102464036,-0.0549496919343463
1,"CB","A.J. Bouye",2541162,4.9,15,0.284687315335187,-0.0745210148573749
1,"CB","A.J. Bouye",2541162,5,15,0.223297472487312,-0.0506369541454085
1,"CB","A.J. Bouye",2541162,5.1,14,0.219553769159589,-0.0546645244820849
1,"CB","A.J. Bouye",2541162,5.2,13,0.159531559512004,-0.0338154896712228
1,"CB","A.J. Bouye",2541162,5.3,13,0.152514520270664,-0.0332968872570102
1,"CB","A.J. Bouye",2541162,5.4,11,0.267731789668936,-0.0637767753392756
1,"CB","A.J. Bouye",2541162,5.5,11,0.253762224084271,-0.0586168980278638
1,"CB","A.J. Bouye",2541162,5.6,8,0.175065896737605,-0.0296895102691133
1,"CB","A.J. Bouye",2541162,5.7,5,0.424347785497353,-0.121988771207088
1,"CB","A.J. Bouye",2541162,5.8,5,0.39697744441211,-0.110502209199114
1,"CB","A.J. Bouye",2541162,5.9,5,0.371991811598802,-0.100182314966735
1,"CB","A.J. Bouye",2541162,6,5,0.371465838374999,-0.100445202582026
1,"CB","Aaron Colvin",2543501,0.5,99,-0.0094935638468983,0.0374534394150479
1,"CB","Aaron Colvin",2543501,0.6,99,-0.0648530914896953,0.0552604535976648
1,"CB","Aaron Colvin",2543501,0.7,99,-0.114614182537536,0.0712467155298475
1,"CB","Aaron Colvin",2543501,0.8,99,-0.163049390226751,0.0861494436815772
1,"CB","Aaron Colvin",2543501,0.9,99,-0.18734396046881,0.0935886147798647
1,"CB","Aaron Colvin",2543501,1,99,-0.194319023637227,0.0958698210665929
1,"CB","Aaron Colvin",2543501,1.1,99,-0.186508778540841,0.0938168245043088
1,"CB","Aaron Colvin",2543501,1.2,99,-0.170600484399493,0.0894014391796365
1,"CB","Aaron Colvin",2543501,1.3,99,-0.144945516401701,0.0818011416160603
1,"CB","Aaron Colvin",2543501,1.4,99,-0.112192807508272,0.072308484673921
1,"CB","Aaron Colvin",2543501,1.5,99,-0.0799527337720022,0.0624244835503316
1,"CB","Aaron Colvin",2543501,1.6,97,-0.0458215359473115,0.0516771215734559
1,"CB","Aaron Colvin",2543501,1.7,95,-0.0278060305792402,0.0460753279629917
1,"CB","Aaron Colvin",2543501,1.8,93,-0.0111970753453764,0.040654070945561
1,"CB","Aaron Colvin",2543501,1.9,86,-0.0131331233839834,0.0404003090682307
1,"CB","Aaron Colvin",2543501,2,84,-0.00955209263583733,0.0387915908272343
