"qualifying","position","displayName","nflId_def","targets","closing_penalties","eps_saved_closing_w_penalties","eps_saved_closing","eps_saved_closing_per_target","eps_saved_closing_per_target_w_penalties","epa_pass_attempt_avg"
1,"CB","Gareon Conley",2558062,29,0,8.58900589908255,7.88984371304744,0.272063576311981,0.272063576311981,0.395039487094524
1,"CB","Buster Skrine",2495343,33,0,7.80820993665105,7.01261158702489,0.212503381424997,0.212503381424997,0.403789098041357
1,"CB","Malcolm Butler",2550613,50,0,7.73718761977332,6.5317355748852,0.130634711497704,0.130634711497704,0.418353839204
1,"CB","Jaire Alexander",2560952,40,1,7.23209599424521,7.76702426922919,0.19417560673073,0.162270708621436,0.229087560404639
1,"SS","Malcolm Jenkins",79848,35,0,7.19560816925969,6.351791737838,0.181479763938229,0.181479763938229,0.169570968536306
1,"CB","Darqueze Dennard",2543474,32,0,7.01476951577459,6.24328020704619,0.195102506470193,0.195102506470193,0.277633695053869
1,"CB","Kyle Fuller",2543681,58,0,6.44922776251446,5.05090339044423,0.0870845412145557,0.0870845412145557,0.176514801646995
1,"SS","Jamal Adams",2557979,18,0,6.13591848338119,5.70195574722147,0.316775319290082,0.316775319290082,0.3877829090224
1,"FS","Tyrann Mathieu",2540180,35,0,5.40607163268357,4.56225520126189,0.130350148607482,0.130350148607482,0.312261258217244
1,"FS","Budda Baker",2558009,41,0,5.29334718363161,4.30487650682335,0.104996987971301,0.104996987971301,0.124268122714207
1,"CB","Mike Hilton",2556559,21,0,4.74560625759899,4.23931639874597,0.201872209464094,0.201872209464094,0.227326318428468
1,"SS","Jeff Heath",2541832,27,0,4.62059705800986,3.96965295377027,0.147024183472973,0.147024183472973,0.193825428894823
1,"CB","Darryl Roberts",2553353,20,0,4.50330871589841,4.02112789794316,0.201056394897158,0.201056394897158,0.204410975114375
1,"FS","Will Parks",2556278,13,0,4.42555797272797,4.11214044105706,0.316318495465927,0.316318495465927,0.0378615968875146
1,"CB","Bobby McCain",2552434,31,1,4.13598132837499,4.15366043162759,0.133989046181535,0.111367077395542,0.314471644642272
1,"CB","D.J. Hayden",2539237,13,0,4.01153737198533,3.69811984031442,0.284470756947263,0.284470756947263,0.164183209456514
1,"CB","Trae Waynes",2552448,25,0,3.92678286460361,3.32405684215955,0.132962273686382,0.132962273686382,0.179072611874925
1,"CB","Shaquill Griffin",2558259,42,0,3.72537228967292,2.7127925719669,0.0645902993325452,0.0645902993325452,0.314717916900938
1,"SS","Justin Simmons",2555550,26,0,3.5482903293748,2.92145526603298,0.112363664078191,0.112363664078191,0.184060902382785
1,"CB","Joe Haden",496733,50,0,3.41239187921885,2.20693983433072,0.0441387966866144,0.0441387966866144,0.19397772692156
1,"CB","Nevin Lawson",2543872,28,0,3.31893726731211,2.64388412217476,0.0944244329348128,0.0944244329348128,0.274523902781975
1,"CB","Bryce Callahan",2553500,21,0,3.24538788476809,2.73909802591508,0.130433239329289,0.130433239329289,0.261883742658293
1,"CB","Janoris Jenkins",2532875,49,0,3.22146084867307,2.04011784468271,0.0416350580547492,0.0416350580547492,0.417926779078504
1,"CB","Trumaine Johnson",2532877,21,0,3.17061198930745,2.66432213045444,0.126872482402592,0.126872482402592,0.303186559720589
1,"CB","Pierre Desir",2543811,38,0,3.16713130696399,2.25098775284901,0.0592365198118161,0.0592365198118161,0.255984116562885
1,"CB","Grant Haley",2561001,19,0,3.13675560186967,2.67868382481218,0.140983359200641,0.140983359200641,0.34153338245438
1,"CB","William Jackson",2556367,46,0,2.82805947115301,1.71904358985593,0.037370512822955,0.037370512822955,0.238625621424366
1,"CB","Stephon Gilmore",2533062,51,2,2.80444792951649,2.95890593315812,0.0580177633952573,0.0303609967845129,0.264750281715428
1,"CB","Desmond Trufant",2539334,51,0,2.77866462922135,1.54910354343546,0.0303745792830483,0.0303745792830483,0.262061731945387
1,"FS","Tashaun Gipson",2532848,21,0,2.71511923721823,2.20882937836522,0.105182351350725,0.105182351350725,0.302611086687745
1,"CB","Quincy Wilson",2557961,9,0,2.68814477888078,2.47116341080092,0.274573712311213,0.274573712311213,0.0579789061351577
1,"SS","Michael Thomas",2535687,15,0,2.47773349061059,2.11609787714415,0.14107319180961,0.14107319180961,0.104546680977424
1,"SS","Bradley McDougald",2539243,19,0,2.47214081684624,2.01406903978876,0.106003633673092,0.106003633673092,0.15600184048074
1,"CB","Mike Ford",2561527,17,0,2.4264543979288,2.01660070266684,0.118623570745108,0.118623570745108,0.477792125562785
1,"CB","Brent Grimes",2506861,24,0,2.353644487184,1.7750275056377,0.0739594794015708,0.0739594794015708,0.320494551698213
1,"SS","Derwin James",2560760,19,0,2.23708919525712,1.77901741819964,0.0936324956947177,0.0936324956947177,0.206464667719898
1,"CB","Denzel Ward",2560916,41,0,2.16873573625578,1.18026505944752,0.0287869526694517,0.0287869526694517,0.265951207472492
1,"CB","Bradley Roby",2543505,44,0,2.1621188571119,1.10132105761035,0.0250300240365988,0.0250300240365988,0.417281216149899
1,"DB","Greg Stroman",2560886,12,0,2.05541017428088,1.76610168350773,0.147175140292311,0.147175140292311,0.350208542111067
1,"CB","Phillip Gaines",2543851,19,0,2.01480167489272,1.55672989783523,0.0819331525176435,0.0819331525176435,0.469465672082683
1,"CB","Anthony Brown",2555531,23,0,2.00040158603334,1.44589364538481,0.0628649411036872,0.0628649411036872,0.271945399312279
1,"CB","Kenny Moore II",2558976,23,0,1.84649390555667,1.29198596490813,0.0561733028220926,0.0561733028220926,0.492315828388792
1,"CB","Michael Davis",2559164,30,0,1.71647281959695,0.993201592664072,0.0331067197554691,0.0331067197554691,0.331525581154267
