"gameId","playId","nflId_def","targetNflId","eps_closing"
2018093009,4879,306,2552461,0.048
2018091001,1673,306,2540169,-0.118
2018121611,4322,1302,2540158,1.387
2018092310,2481,1302,2553913,1.257
2018121611,3299,1302,2540158,0.291
2018122311,1937,1302,2506106,0.119
2018120901,2756,1302,2543509,0.1
2018123014,3359,1302,2558914,0.044
2018123014,2855,1302,2558914,-0.1
2018122311,3098,1302,2561272,-0.353
2018120202,2085,1302,2543646,-0.356
2018120901,3115,1302,2558250,-0.41
2018120901,545,1302,2558250,-0.43
2018123014,2170,1302,2558914,-0.529
2018101412,1481,2307,238498,0.246
2018092305,2499,2307,2540230,0.2
2018100705,3883,2307,2543614,0.1
2018092305,2429,2307,2558266,0.058
2018120210,1722,2307,2560961,0.007
2018100705,3399,2307,2557895,-0.012
2018102105,2712,2307,2555466,-0.032
2018111105,2700,2307,2506106,-0.145
2018102105,470,2307,2495450,-0.283
2018120210,3575,2307,1032,-0.313
2018111900,267,2307,2540169,-0.436
2018100100,4106,2307,497322,-0.803
2018121300,4317,2307,2558846,-0.897
2018123011,1806,2354,2560742,0.674
2018121608,4070,2354,2557858,0.519
2018120600,3357,2354,2543614,0.353
2018093007,276,2354,2540158,0.333
2018123011,1005,2354,2556396,0.244
2018102100,1071,2354,2559169,0.231
2018112600,1947,2354,2560951,0.183
2018121608,4092,2354,2555295,0.18
2018121608,2283,2354,2560968,0.16
2018120211,4298,2354,2560738,0.137
2018092304,3864,2354,2552471,0.07
2018092304,176,2354,2543683,0.042
2018111108,978,2354,238498,0.024
2018110500,2323,2354,2534436,-0.055
2018112600,2966,2354,2533034,-0.058
2018092304,2454,2354,2559153,-0.172
2018120600,1022,2354,2557895,-0.204
2018111108,2099,2354,238498,-0.247
2018090903,1947,2354,2555230,-0.411
2018111108,1179,2354,2543773,-0.462
2018112500,2826,4365,2560961,0.159
2018120200,195,4365,2561061,0.1
2018110400,809,4365,2560920,0.067
2018112500,187,4365,2560961,0.048
2018102101,496,4365,2560878,0.041
2018120200,1935,4365,2559924,0.006
2018102101,201,4365,2506122,0.004
2018093012,1916,4365,2560920,-0.015
2018100703,3380,4365,2543488,-0.03
2018093012,1484,4365,2558149,-0.039
2018120905,98,4365,2540258,-0.07
2018100703,1701,4365,2560988,-0.238
2018110400,3445,4365,2552633,-1.396
2018100400,2944,71251,2560933,0.655
2018111108,1321,71251,2495469,0.266
2018102900,2068,71251,2530763,0.197
2018120212,441,71251,2495438,0.174
2018102900,2023,71251,79607,0.087
2018112505,126,71251,2560738,0.081
2018100400,2153,71251,2560742,0.018
2018100400,2055,71251,2556396,-0.006
2018112505,2669,71251,2550189,-0.065
2018112505,1419,71251,2543828,-0.111
2018120212,1647,71251,2552608,-0.15
2018101412,2441,71251,2556214,-0.235
2018102102,1206,71251,2550284,-0.328
2018091612,413,71251,2553650,-0.547
2018102102,898,71251,2550284,-0.605
2018101412,784,71251,2540258,-0.631
2018102102,3621,71251,2558250,-1.074
2018101411,965,71423,2550256,0.45
2018102100,3008,71423,2505299,-0.168
2018123002,3222,71441,2560907,0.432
2018123002,1959,71441,497236,0.088
2018100704,2544,71441,497236,0.018
2018092313,2075,71441,497240,-0.041
2018112200,3057,71441,2535964,-0.049
2018091610,3843,71441,2540230,-0.09
2018092313,3403,71441,497240,-0.136
2018111100,1055,71441,2560810,-0.154
2018091000,494,71441,2543828,-0.309
2018102106,1037,71441,2560994,-0.997
2018112506,719,79848,2560968,0.657
2018090600,75,79848,2495454,0.502
2018111809,2324,79848,2541834,0.444
2018120912,1779,79848,2555224,0.401
2018123012,2811,79848,2555343,0.259
2018102108,3199,79848,2552458,0.257
2018100709,3521,79848,2552608,0.182
2018121611,4006,79848,2540169,0.171
2018120300,1932,79848,2540160,0.124
2018120300,927,79848,2552415,0.095
2018093007,4231,79848,2495469,0.082
2018101100,3564,79848,2560968,0.051
2018121611,3878,79848,2540169,0.043
2018101100,287,79848,2560968,-0.005
2018092308,2829,79848,2556396,-0.008
2018122310,1785,79848,2560951,-0.056
2018102800,1180,79848,2561018,-0.114
2018102108,2793,79848,2560813,-0.18
2018121611,3399,79848,2552475,-0.225
2018102108,686,79848,2495459,-0.237
2018102108,2526,79848,2552458,-0.518
2018101100,2834,79848,2543496,-1.29
2018121611,3602,79848,2552475,-1.687
2018102810,2557,80431,2557889,0.291
2018091602,1976,80431,2541785,-0.124
2018121700,1170,80668,2560878,0.388
2018110402,972,80668,2553895,0.163
2018102801,145,80668,2550256,0.159
2018102801,1793,80668,2550256,0.111
2018112502,3013,80668,2558856,0.076
2018120209,3169,80668,2550656,-0.029
2018110402,947,80668,2553895,-0.138
2018101408,229,80668,2550542,-0.486
2018101408,2204,80668,2532933,-0.945
2018123007,2446,80668,2539303,-1.004
2018102102,4750,89756,2553432,1.537
2018090905,4464,89756,2561427,1.273
2018101412,3568,89756,2556214,0.155
2018093006,2184,89756,2560994,0.113
2018100400,4405,89756,2550405,0.086
2018112505,550,89756,2532887,0.081
2018120212,772,89756,2556803,0.063
2018120212,3624,89756,2541785,0.057
2018101412,2586,89756,2540204,0.042
2018102102,4256,89756,2553432,-0.069
2018100400,3866,89756,2558877,-0.142
2018101412,1797,89756,2556214,-0.142
2018121610,2279,89756,2560920,-0.142
2018092313,751,89756,2532884,-0.157
2018112505,1827,89756,2543828,-0.211
2018120906,470,89756,2540202,-0.429
2018120906,1240,89756,2540202,-0.759
2018100400,3750,89756,2543759,-1.023
2018102103,3174,238227,2552647,0.31
2018102103,1076,238227,2495139,0.137
2018112504,2114,238227,2560994,0.007
2018122300,181,238227,2555295,-0.224
2018111804,2747,238227,2558942,-1.033
2018100705,2384,494259,2552652,2.692
2018111810,2265,494259,2550521,0.494
2018112501,525,494259,2559159,0.259
2018092304,1780,494259,2495469,0.19
2018090907,3955,494259,2557858,0.167
2018102104,2027,494259,2533034,0.127
2018112501,3363,494259,2560729,0.087
2018111104,1122,494259,2540232,0.031
2018093005,1063,494259,2543828,0.014
2018091612,2662,494259,2558956,-0.006
2018112501,2174,494259,2559159,-0.269
2018101410,142,494259,2553454,-0.324
2018102104,2974,494259,2533034,-0.362
2018102104,2891,494259,2555346,-0.377
2018111104,2718,494259,2560742,-0.514
2018112501,875,494259,2560729,-0.627
2018101410,624,494259,2560735,-0.863
2018111101,3396,494261,2552559,0.741
2018100800,563,494261,2540011,0.347
2018102811,3164,494261,2541161,0.144
2018102101,624,494261,2555430,0.042
2018123007,1731,494261,2560894,-0.279
2018121608,4212,494277,2560968,0.273
2018121608,4164,494277,2550198,0.04
2018102100,1726,494277,2558846,-0.497
2018121608,2963,494277,2541944,-1.095
2018100400,3818,494287,2543466,0.493
2018100400,3842,494287,2560742,0.311
2018102900,4487,494287,2495139,0.27
2018120212,1434,494287,2541161,0.246
2018120906,3627,494287,2540202,0.155
2018120906,680,494287,2552409,0.151
2018100400,2992,494287,2560933,0.104
2018100400,4141,494287,2560742,0.087
2018090905,3621,494287,2560951,0.077
2018120906,3237,494287,2540202,0.077
2018091612,3236,494287,2553650,0.025
2018120212,392,494287,2557991,-0.021
2018112505,3842,494287,2560738,-0.064
2018091612,282,494287,2543683,-0.083
2018122308,3957,494287,2559880,-0.17
2018123006,766,494287,2560738,-0.358
2018091612,1667,494287,2543683,-0.376
2018093006,3713,494287,2506404,-0.698
2018111108,2738,494287,2561521,-1.094
2018122312,1980,494289,2558914,0.224
2018120901,2400,494289,2557889,0.134
2018102102,1799,494289,2530515,-0.009
2018123005,3830,494289,2541785,-0.096
2018102102,1889,494289,238498,-0.133
2018093001,3432,494289,2550656,-0.704
2018101409,3252,494307,2540169,0.242
2018111808,862,494307,2540154,0.117
2018120910,2403,494307,2558266,0.027
2018112509,1849,494307,2540215,0.015
2018120910,3821,494307,2558202,-0.034
2018111808,292,494307,2540154,-0.15
2018121501,144,494307,2543488,-0.186
2018121300,523,496723,2505299,0.581
2018121300,1418,496723,2495288,0.16
2018121300,1482,496723,2553913,-1.986
2018110400,3796,496727,2560957,0.314
2018110800,2914,496727,2552458,0.019
2018121610,3036,496727,497240,0.012
2018110400,481,496727,2555209,-0.076
2018121610,3815,496727,238498,-0.079
2018110800,3177,496727,2532978,-0.096
2018123009,2727,496727,2557976,-0.375
2018112509,2433,496727,2552399,-0.46
2018110400,4347,496727,71269,-1.361
2018090901,1306,496733,2543488,0.534
2018121610,3284,496733,238498,0.517
2018122313,2480,496733,2556370,0.252
2018102807,3640,496733,2543488,0.243
2018102807,1032,496733,2543488,-0.04
2018112509,1673,496733,2553667,-0.093
2018100707,3724,496733,2495454,-0.107
2018110800,791,496733,2552458,-0.184
2018120208,738,496733,2540154,-0.224
2018110400,1902,496733,2550256,-0.375
2018110400,2895,496733,2543847,-0.719
2018101401,1471,496733,2495450,-0.982
2018121500,3535,496735,2560738,0.559
2018101403,2138,496735,2557863,0.522
2018101403,3924,496735,79607,0.473
2018110407,2380,496735,2559947,0.335
2018091607,1512,496735,2557870,0.279
2018102104,2581,496735,2561018,0.188
2018100712,4111,496735,2559193,0.14
2018111806,2226,496735,2560847,0.117
2018110407,3655,496735,2558985,0.069
2018102104,3247,496735,2552471,0.026
2018110407,1031,496735,497322,-0.026
2018120904,1427,496735,2558877,-0.058
2018120904,3089,496735,2532865,-0.095
2018090905,963,496735,2530515,-0.096
2018120904,3620,496735,2556396,-0.178
2018110407,1925,496735,497322,-0.2
2018102104,3378,496735,2561018,-0.251
2018120204,3971,496735,2552597,-0.252
2018090905,2433,496735,497240,-0.286
2018102500,2829,496735,2555230,-0.321
2018120204,3531,496735,2543488,-1.96
2018090903,3029,496739,2495966,1.767
2018091604,2001,496739,2560738,0.773
2018100702,2015,496739,2557976,0.58
2018100702,551,496739,2495450,0.484
2018120906,3013,496739,2537931,0.408
2018123001,2070,496739,2559159,0.305
2018111103,3707,496739,2495187,0.173
2018102106,1299,496739,2560765,0.144
2018102500,2655,496739,2555234,-0.06
2018121607,526,496739,2561027,-0.149
2018120906,3834,496739,238498,-0.192
2018091604,2199,496739,2560738,-0.304
2018111103,3244,496739,2558116,-0.771
2018120206,2727,496739,2557863,-1.044
2018112600,250,496828,2541316,0.216
2018120211,2644,496828,2557885,0.013
2018091613,2281,496937,2543590,0.123
2018090910,725,496937,2495700,0.07
2018090910,1876,496937,2557997,0.053
2018091609,3167,1037374,2560781,0.483
2018123014,4206,1037374,2558266,0.104
2018111900,2170,1037374,2556214,0.052
2018092700,3810,1037374,2552608,0.024
2018092700,2184,1037374,2552608,-0.014
2018111900,5256,1037374,2556214,-0.018
2018111900,4553,1037374,2556214,-0.116
2018092700,1680,1037374,2541785,-0.201
2018111900,3163,1037374,2552652,-0.498
2018111900,4120,1037374,2556214,-0.677
2018092700,2696,1037374,2552608,-1.355
2018091700,3637,2495108,2560835,0.555
2018092311,2246,2495108,2553435,0.385
2018111802,2823,2495108,2552608,0.313
2018102102,2300,2495108,238498,0.281
2018111802,4384,2495108,2552608,0.078
2018110401,4092,2495108,2543471,0.031
2018120207,2405,2495108,2541944,-0.002
2018120901,1715,2495108,2543498,-0.006
2018110401,4741,2495108,2495453,-0.028
2018111802,3120,2495108,2552608,-0.156
2018120901,4225,2495108,2540169,-0.338
2018122312,762,2495108,2558918,-0.339
2018120207,1009,2495108,2541944,-0.355
2018111802,59,2495108,2552608,-0.366
2018110401,3489,2495108,2543471,-1.161
2018111100,3281,2495108,2543836,-2.072
2018101400,3436,2495136,2556466,0.23
2018102200,2687,2495136,2555295,0.135
2018112202,3011,2495136,2559385,0.007
2018091001,1151,2495153,2543498,0.316
2018112500,3185,2495153,2560747,0.223
2018091611,2612,2495153,497322,0.124
2018102808,1600,2495153,2558877,0.057
2018091611,2590,2495153,497328,0.041
2018122400,3360,2495153,2558985,0.024
2018102808,659,2495153,2543466,0.009
2018102808,1678,2495153,2530700,0.005
2018111109,3332,2495153,2540154,-0.05
2018102808,3440,2495153,2540232,-0.057
2018092306,2567,2495153,2649,-0.062
2018120210,2712,2495153,2552652,-0.077
2018123004,1170,2495153,2540258,-0.172
2018120913,837,2495153,2540215,-0.327
2018091001,3315,2495153,2543498,-0.341
2018110100,1866,2495153,2560761,-0.486
2018120210,3169,2495153,2556214,-1.289
2018091602,3122,2495170,2552608,-0.061
2018091602,2547,2495170,2541785,-0.062
2018092301,1423,2495202,2552631,-0.326
2018120201,381,2495202,2557976,-0.354
2018120904,2359,2495251,2556396,0.147
2018123003,2995,2495251,2543614,0.073
2018120904,4382,2495251,2532865,0.025
2018093004,5432,2495251,2543759,0.014
2018111806,3182,2495251,2555343,-0.123
2018123003,3591,2495251,2559153,-0.133
2018111806,2598,2495251,2555343,-0.196
2018110407,3220,2495251,497322,-0.22
2018120904,98,2495251,2543466,-0.287
2018110407,2356,2495251,2560888,-0.319
2018123003,3569,2495251,2561018,-0.407
2018123003,3707,2495251,2559153,-0.516
2018110408,1434,2495252,2559169,0.45
2018111110,1601,2495252,2543498,0.11
2018102804,1662,2495252,2541199,0.099
2018102804,1686,2495252,2560765,0.01
2018123015,1768,2495252,2553435,-0.095
