"qualifying","position","displayName","nflId_def","tackling_opportunities","eps_tackling","eps_per_tackling_opportunity","perc_reduce_yac","FF","Tackles","tackle_perc"
1,"CB","Stephon Gilmore",2533062,23,7.947666787091,0.345550729873522,0.782608695652174,1,16.5,0.717391304347826
1,"CB","Joe Haden",496733,26,5.41500582446488,0.208269454787111,0.807692307692308,0,18,0.692307692307692
1,"CB","Darqueze Dennard",2543474,17,5.21571805346685,0.30680694432158,0.823529411764706,1,14.5,0.852941176470588
1,"CB","DeShawn Shead",2535609,8,5.11288866123059,0.639111082653823,0.25,1,5.5,0.6875
1,"CB","Briean Boddy-Calhoun",2556475,12,3.99574037572095,0.332978364643413,0.583333333333333,0,9.5,0.791666666666667
1,"CB","Shaquill Griffin",2558259,25,3.68758297934021,0.147503319173609,0.72,0,18.5,0.74
1,"CB","Orlando Scandrick",2307,20,3.46459472610668,0.173229736305334,0.75,0,16.5,0.825
1,"CB","Denzel Ward",2560916,11,3.22397686020339,0.293088805473036,0.636363636363636,1,6.5,0.590909090909091
1,"CB","Josh Norman",2532920,24,3.20446692818334,0.133519455340973,0.583333333333333,1,15.5,0.645833333333333
1,"CB","Kenny Moore II",2558976,14,3.07566962978487,0.219690687841776,0.285714285714286,1,11,0.785714285714286
1,"CB","Marshon Lattimore",2558061,25,2.90482412737761,0.116192965095104,0.64,2,17,0.68
1,"CB","Trevor Williams",2556828,12,2.47055455722572,0.205879546435477,0.666666666666667,0,7,0.583333333333333
1,"CB","Chidobe Awuzie",2557840,27,2.40281271994536,0.0889930637016801,0.703703703703704,0,19.5,0.722222222222222
1,"CB","Brent Grimes",2506861,20,2.27029589994405,0.113514794997202,0.7,0,13.5,0.675
1,"CB","Buster Skrine",2495343,19,2.21147318192334,0.116393325364386,0.736842105263158,1,15.5,0.815789473684211
1,"CB","Anthony Brown",2555531,15,2.19317738426532,0.146211825617688,0.733333333333333,1,11,0.733333333333333
1,"S","Minkah Fitzpatrick",2560725,13,2.09730950942609,0.161331500725084,0.461538461538462,0,12,0.923076923076923
1,"CB","Tre'Davious White",2557867,16,2.02568051552009,0.126605032220005,0.625,0,11.5,0.71875
